Record Type,Fuel Type,County,Registration Class
BOAT,OTHER   ,CLINTON     ,12
VEH ,DIESEL  ,NEW YORK    ,6862
BOAT,FLEX    ,ONONDAGA    ,10
BOAT,FLEX    ,SCHUYLER    ,2
BOAT,FLEX    ,LIVINGSTON  ,3
VEH ,FLEX    ,BROOME      ,79
VEH ,PROPANE ,ONEIDA      ,38
VEH ,OTHER   ,MADISON     ,2
VEH ,GAS     ,DUTCHESS    ,218386
VEH ,FLEX    ,SENECA      ,23
BOAT,NONE    ,RICHMOND    ,64
TRL ,NONE    ,ERIE        ,59168
VEH ,COMP N/G,CHEMUNG     ,3
VEH ,NONE    ,CLINTON     ,288
BOAT,GAS     ,WARREN      ,6047
BOAT,DIESEL  ,KINGS       ,351
BOAT,NONE    ,MADISON     ,15
BOAT,ELECTRIC,GREENE      ,90
VEH ,DIESEL  ,GREENE      ,2686
TRL ,GAS     ,ONONDAGA    ,4
VEH ,OTHER   ,OTSEGO      ,3
VEH ,ELECTRIC,KINGS       ,1010
VEH ,NONE    ,ORLEANS     ,181
BOAT,NONE    ,DELAWARE    ,23
VEH ,OTHER   ,OUT-OF-STATE,5
VEH ,OTHER   ,DELAWARE    ,2
BOAT,OTHER   ,ORLEANS     ,1
BOAT,FLEX    ,SULLIVAN    ,2
BOAT,NONE    ,OTSEGO      ,22
BOAT,ELECTRIC,NEW YORK    ,85
VEH ,FLEX    ,JEFFERSON   ,24
BOAT,NONE    ,OUT-OF-STATE,62
BOAT,FLEX    ,ORANGE      ,10
BOAT,ELECTRIC,SCHOHARIE   ,83
VEH ,ELECTRIC,QUEENS      ,900
TRL ,NONE    ,ESSEX       ,7135
TRL ,NONE    ,TOMPKINS    ,8041
VEH ,NONE    ,MONTGOMERY  ,83
BOAT,NONE    ,WESTCHESTER ,109
BOAT,DIESEL  ,WAYNE       ,72
BOAT,ELECTRIC,GENESEE     ,54
VEH ,DIESEL  ,COLUMBIA    ,3594
BOAT,DIESEL  ,SARATOGA    ,69
BOAT,FLEX    ,CATTARAUGUS ,2
BOAT,GAS     ,NASSAU      ,22990
TRL ,NONE    ,WASHINGTON  ,9493
VEH ,OTHER   ,WESTCHESTER ,20
VEH ,PROPANE ,JEFFERSON   ,1
BOAT,OTHER   ,MONTGOMERY  ,3
VEH ,COMP N/G,FRANKLIN    ,2
VEH ,COMP N/G,OSWEGO      ,2
VEH ,GAS     ,NIAGARA     ,149091
BOAT,NONE    ,PUTNAM      ,23
VEH ,PROPANE ,SENECA      ,6
BOAT,GAS     ,LEWIS       ,1731
BOAT,ELECTRIC,COLUMBIA    ,95
VEH ,NONE    ,YATES       ,70
VEH ,ELECTRIC,SARATOGA    ,184
VEH ,FLEX    ,ONEIDA      ,49
VEH ,PROPANE ,BROOME      ,28
VEH ,ELECTRIC,WAYNE       ,31
VEH ,DIESEL  ,GENESEE     ,3635
VEH ,OTHER   ,PUTNAM      ,1
BOAT,GAS     ,CAYUGA      ,4343
BOAT,OTHER   ,YATES       ,10
BOAT,DIESEL  ,QUEENS      ,290
VEH ,DIESEL  ,SCHOHARIE   ,2171
BOAT,NONE    ,FULTON      ,18
VEH ,DIESEL  ,ORANGE      ,12581
VEH ,COMP N/G,CAYUGA      ,5
BOAT,GAS     ,ULSTER      ,3823
VEH ,FLEX    ,WAYNE       ,12
VEH ,DIESEL  ,CATTARAUGUS ,3698
VEH ,ELECTRIC,ONEIDA      ,74
VEH ,FLEX    ,SARATOGA    ,31
BOAT,FLEX    ,COLUMBIA    ,1
TRL ,NONE    ,ST LAWRENCE ,21308
TRL ,NONE    ,ONTARIO     ,16004
BOAT,GAS     ,OSWEGO      ,7038
BOAT,GAS     ,FRANKLIN    ,3311
VEH ,NONE    ,BRONX       ,18
VEH ,COMP N/G,NASSAU      ,667
BOAT,ELECTRIC,CATTARAUGUS ,105
BOAT,DIESEL  ,ONEIDA      ,37
TRL ,NONE    ,WYOMING     ,7478
VEH ,FLEX    ,QUEENS      ,95
VEH ,PROPANE ,KINGS       ,28
BOAT,OTHER   ,BRONX       ,7
BOAT,ELECTRIC,ORANGE      ,855
VEH ,DIESEL  ,TIOGA       ,2404
VEH ,DIESEL  ,ONONDAGA    ,14398
VEH ,ELECTRIC,JEFFERSON   ,29
BOAT,FLEX    ,NEW YORK    ,5
VEH ,DIESEL  ,SCHUYLER    ,1148
VEH ,DIESEL  ,LIVINGSTON  ,3181
BOAT,DIESEL  ,BROOME      ,32
VEH ,GAS     ,HERKIMER    ,43764
BOAT,ELECTRIC,SULLIVAN    ,355
BOAT,DIESEL  ,SENECA      ,10
VEH ,FLEX    ,KINGS       ,67
VEH ,PROPANE ,QUEENS      ,19
VEH ,COMP N/G,WARREN      ,1
VEH ,GAS     ,CHENANGO    ,35958
TRL ,NONE    ,MONROE      ,47338
VEH ,PROPANE ,WAYNE       ,7
BOAT,OTHER   ,RENSSELAER  ,24
BOAT,GAS     ,CHEMUNG     ,2974
