Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,EV Connector Types,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Location
ELEC,Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,,Malta,NY,12020,,518-629-7075,E,,Public,7am-10pm M-Sat,,1,,,,,,NEMA520,GPS,42.971670,-73.774182,06/02/2017,36532,2018-02-06 21:00:03 UTC,SG,,,10/15/2010,"(42.97167, -73.774182)"
ELEC,EDISONPARKFAST,451 9th Ave,LOC #250 #2 LOT#250; ChargePoint America Program,New York,NY,10018,,888-758-4389,E,,Public,24 hours daily,,1,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,200-9,40.754512,-73.995938,10/28/2018,36945,2018-10-28 09:03:02 UTC,,,,,"(40.754512, -73.995938)"
ELEC,CARCHARGING,350 W 50th St,ICON MERCURY; Icon parking see attendant for access ,New York,NY,10019,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.763245,-73.988648,10/28/2018,37169,2018-10-28 09:03:02 UTC,,,,,"(40.7632446, -73.9886475)"
ELEC,CARCHARGING,310 W 39th St,ICON 310 W 39TH; Icon Parking systems see valet for access,New York,NY,10018,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.755440,-73.992027,10/28/2018,38530,2018-10-28 09:03:02 UTC,,,,,"(40.7554398, -73.9920273)"
ELEC,EDISONPARKFAST,50 W 44th St,"LOC #100 LEVEL3; Located in basement level of Hippodrome Garage, Edison ParkFast LOT#100 C",New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,1,1,1,,ChargePoint Network,http://www.chargepoint.com/,CHADEMO J1772 NEMA520,200-8,40.755546,-73.982307,10/28/2018,38981,2018-10-28 09:03:02 UTC,,,,,"(40.755546, -73.982307)"
ELEC,Holiday Inn Express - Albany Downtown,300 Broadway,Just before I-787 ramp,Albany,NY,12207,,518-434-4111,E,,Public,24 hours daily,,2,2,,,,,J1772 NEMA520,200-9,42.645487,-73.750451,04/06/2017,40693,2018-03-06 01:15:20 UTC,P,,,08/15/2011,"(42.645487, -73.750451)"
ELEC,BEAM CHARGING,1510 Lexington Ave,1510 LEX GARAGE; Unit located on level C in section A outside of elevator,Manhattan,NY,10029,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.786942,-73.950516,10/28/2018,41247,2018-10-28 09:03:02 UTC,,,,,"(40.7869415, -73.9505157)"
ELEC,BEAM CHARGING,919 3rd Ave,919 THIRD AVE; On ramp to second floor of GMC garage,Manhattan,NY,10022,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.758732,-73.967789,10/28/2018,41250,2018-10-28 09:03:02 UTC,,,,,"(40.7587318, -73.9677887)"
ELEC,BEAM CHARGING,157 W 83rd St,157 W 83RD ST; Unit located on back wall of garage as you pull in,Manhattan,NY,10024,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.785522,-73.975326,10/28/2018,41251,2018-10-28 09:03:02 UTC,,,,,"(40.7855225, -73.9753265)"
ELEC,BEAM CHARGING,38 W 46th St,38 W 46 ST GRG; Unit located on ground floor behind the managers office,New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.756676,-73.980827,10/28/2018,41255,2018-10-28 09:03:02 UTC,,,,,"(40.7566757, -73.9808273)"
ELEC,BEAM CHARGING,315 E 40th St,315 E 40TH ST; Unit behind managers office section C on wall facing 40th St,New York,NY,10017,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.748135,-73.972122,10/28/2018,41256,2018-10-28 09:03:02 UTC,,,,,"(40.7481346, -73.9721222)"
ELEC,TOWN OF BABYLON,281 Phelps Ln,TOWN ANNEX 1; Left side station  TOWN ANNEX 2; Right side station ,North Babylon,NY,11703,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-9,40.728093,-73.330478,10/28/2018,41260,2018-10-28 09:03:02 UTC,,,,,"(40.728093, -73.330478)"
ELEC,VILLAGE WARWICK,5 South St,SOUTH ST LOT; Located in the South Street Parking lot,Warwick,NY,10990,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,41.257172,-74.358673,10/28/2018,41261,2018-10-28 09:03:02 UTC,,,,,"(41.2571716, -74.3586731)"
ELEC,EVPASS,141 West Washington Street,FM-10; 15 Units Lincoln Center lot between S Salina and S Clinton FM-11; 15 Units Lincoln Center lot between S Salina and S Clinton FM-12; 15 Units Lincoln Center lot between S Salina and S Clinton FM-13; 15 Units Lincoln Center lot between S Salina and S Clinton FM-14; 15 Units Lincoln Center lot between S Salina and S Clinton FM-15; 15 Units Lincoln Center lot between S Salina and S Clinton FM-1; 15 Units Lincoln Center lot between S Salina and S Clinton FM-2; 15 Units Lincoln Center lot between S Salina and S Clinton FM-3; 15 Units Lincoln Center lot between S Salina and S Clinton FM-4; 15 Units Lincoln Center lot between S Salina and S Clinton FM-5; 15 Units Lincoln Center lot between S Salina and S Clinton FM-6; 15 Units Lincoln Center lot between S Salina and S Clinton FM-7; 15 Units Lincoln Center lot between S Salina and S Clinton FM-8; 15 Units Lincoln Center lot between S Salina and S Clinton FM-9; 15 Units Lincoln Center lot between S Salina and S Clinton,Syracuse,NY,13202,,888-758-4389,E,,Public,24 hours daily,,,15,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-8,43.049405,-76.153772,10/28/2018,41752,2018-10-28 09:03:02 UTC,,,,,"(43.049405, -76.153772)"
ELEC,EVPASS,217 Montgomery Street,HILL-1; 2 units at Hill Building parking lot HILLS - 2; 2 units at Hill Building parking lot,Syracuse,NY,13202,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-9,43.048831,-76.148959,10/28/2018,41753,2018-10-28 09:03:02 UTC,,,,,"(43.048831, -76.148959)"
ELEC,EVPASS,124 Dell Street,UR DELL-1; 2 units in lot in front of Taste of India UR DELL-2; 2 units in lot in front of Taste of India,Syracuse,NY,13210,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-9,43.041669,-76.120006,10/28/2018,41756,2018-10-28 09:03:02 UTC,,,,,"(43.041669, -76.120006)"
ELEC,EVPASS,508 Westcott St,UR WSCT-1; 3 units in lot in front of Papa John's Pizza UR WSCT-3; 3 units in lot in front of Papa John's Pizza,Syracuse,NY,13210,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-9,43.041604,-76.119715,10/28/2018,41757,2018-10-28 09:03:02 UTC,,,,,"(43.041604, -76.119715)"
ELEC,EDISONPARKFAST,160 Livingston St,LOT#93; Mounted to parking booth in Edison ParkFast lot,Brooklyn,NY,11201,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.690170,-73.987900,10/28/2018,41853,2018-10-28 09:03:02 UTC,,,,,"(40.6901703, -73.9878998)"
ELEC,EVPASS,599 Towne Dr,FYTCT-1; 3 Units in lot on left entering from N Burdick St FYTCT-2; 3 Units in lot on left entering from N Burdick St FYTCT-3; 3 Units in lot on left entering from N Burdick St,Fayetteville,NY,13066,,888-758-4389,E,,Public,24 hours daily,,,3,,,ChargePoint Network,http://www.chargepoint.com/,J1772,GPS,43.033474,-76.018303,10/28/2018,41854,2018-10-28 09:03:02 UTC,,,,,"(43.033474, -76.0183029)"
ELEC,KOHLS,5300 Sunrise Hwy,10417MASSAPEQUA; EV Charging for Kohl's Customers Only - 4 hour Max - Parking Lot located at Kohl's Main Entrance,Massapequa Park,NY,11762,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.677094,-73.441002,10/28/2018,41855,2018-10-28 09:03:02 UTC,,,,,"(40.6770935, -73.4410019)"
ELEC,EDISONPARKFAST,400 E 110th St,LOT#128; Edison ParkFast lot mounted to booth,Manhattan,NY,10029,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.791966,-73.937355,10/28/2018,41857,2018-10-28 09:03:02 UTC,,,,,"(40.7919655, -73.937355)"
ELEC,EDISONPARKFAST,3976 10th Ave,LOT#134,Manhattan,NY,10034,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.868034,-73.916702,10/28/2018,41858,2018-10-28 09:03:02 UTC,,,,,"(40.8680344, -73.9167023)"
ELEC,EVPASS,143 N Washington St,"R CH-2; 3 units at lot, entry near corner of N Washington St R CH-3; 3 units at lot, entry near corner of N Washington St",Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-9,43.212913,-75.458988,10/28/2018,41859,2018-10-28 09:03:02 UTC,,,,,"(43.212913, -75.458988)"
ELEC,EVPASS,150 East Locust St,R FF-1; 1 unit at lot near corner of N James St,Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772,GPS,43.223629,-75.446960,10/28/2018,41861,2018-10-28 09:03:02 UTC,,,,,"(43.223629, -75.4469604)"
ELEC,EVPASS,869 Kent Street,R GF-1; 1 unit located at lot near corner of Laurel St,Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772,GPS,43.227211,-75.459671,10/28/2018,41862,2018-10-28 09:03:02 UTC,,,,,"(43.227211, -75.459671)"
ELEC,EVPASS,506 West Embargo Street,R JFKA-1; 1 unit at lot in front of poolhouse at corner of N Jay St,Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772,GPS,43.218845,-75.463188,10/28/2018,41863,2018-10-28 09:03:02 UTC,,,,,"(43.2188454, -75.4631882)"
ELEC,EVPASS,9090 Carousel Center Drive,CCT N-1; 3 units in north underground garage off Harborside Dr CCT N-2; 3 units in north underground garage off Harborside Dr,Syracuse,NY,13290,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,J1772,200-8,43.067538,-76.170394,10/28/2018,41864,2018-10-28 09:03:02 UTC,,,,,"(43.067538, -76.170394)"
ELEC,BEAM CHARGING,375 Hudson St,375 HUDSON PKNG; Mounted to wall directly in front of manager office,Manhattan,NY,10014,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.728413,-74.007332,10/28/2018,42193,2018-10-28 09:03:02 UTC,,,,,"(40.7284126, -74.0073318)"
ELEC,AAA Car Care Plus,2131 Eggert Rd,,Amherst,NY,14226,,716-362-0562  855-443-3873,E,,Public,24 hours daily,,,1,,,,,J1772,200-9,42.979363,-78.821443,04/03/2018,42992,2018-04-03 18:22:40 UTC,P,,,12/31/2011,"(42.979363, -78.821443)"
ELEC,BEAM CHARGING,200 W 71st St,HIGHRISE PKNG; basement level right side of pillar,Manhattan,NY,10023,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.778065,-73.982506,10/28/2018,43262,2018-10-28 09:03:02 UTC,,,,,"(40.7780647, -73.9825058)"
ELEC,BEAM CHARGING,205 E 63rd St,UPTOWN PARKING; basement level opposite managers office,Manhattan,NY,10065,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.763905,-73.964485,10/28/2018,43263,2018-10-28 09:03:02 UTC,,,,,"(40.7639046, -73.9644852)"
ELEC,PANYNJ,JFK Access Rd,JFK-1; - JFK-2; - JFK-3; - JFK-4; - JFK-5; -,Jamaica,NY,11430,,888-758-4389,E,,Public,24 hours daily,,5,5,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.645859,-73.779656,10/28/2018,43741,2018-10-28 09:03:02 UTC,,,,,"(40.6458588, -73.7796555)"
ELEC,BEAM CHARGING,10 Columbus Cir,"TIME WARNER CTR; Main level, center of garage behind pillar",Manhattan,NY,10019,,888-758-4389,E,,Public,24 hours daily,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,J1772 NEMA520,GPS,40.768784,-73.983147,10/28/2018,43743,2018-10-28 09:03:02 UTC,,,,,"(40.7687836, -73.9831467)"
ELEC,Roosevelt Hospital Garage,515 W 59th St,,New York,NY,10019,,212-957-3692,E,,Public,24 hours daily; pay lot,,1,1,,,,,J1772 NEMA515,200-8,40.770790,-73.988508,06/05/2018,43745,2018-06-05 19:29:00 UTC,P,,,06/15/2011,"(40.77079, -73.988508)"
ELEC,Thruway Nissan,79 Route 17K,,Newburgh,NY,12550,,845-562-1000,E,,Public - Call ahead,Dealership business hours,,,1,,,,,J1772,200-9,41.504105,-74.068916,07/09/2018,44174,2018-07-09 12:13:28 UTC,P,,,11/30/2011,"(41.504105, -74.068916)"
