"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36000","0","10","50","0","2017","2","",636021,9223298,9325864,9415218,150417320920,16291821822,494482035,1241,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6003,1.0,74424,0.8,133375,1.5,150017,1.6,5695361995,3.9,127183654,0.8,-74836903,-13.1,31,2.6
"36000","1","10","51","0","2017","2","",2641,116595,116346,116426,2217175239,0,0,1465,"",0.68,0.65,0.64,0.64,0.51,0.00,0.00,0.79,"",-10,-0.4,1216,1.1,313,0.3,-134,-0.1,220070846,11.0,0,0.0,0,0.0,141,10.6
"36000","1","101","52","0","2017","2","",2,4,5,5,97634,0,0,1609,"",0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.81,"",0,0.0,0,0.0,2,66.7,2,66.7,39896,69.1,0,0.0,0,0.0,277,20.8
"36000","1","1013","53","0","2017","2","",2,4,5,5,97634,0,0,1609,"",0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.79,"",0,0.0,0,0.0,2,66.7,2,66.7,39896,69.1,0,0.0,0,0.0,277,20.8
"36000","1","102","52","0","2017","2","",2639,116591,116341,116421,2217077605,0,0,1465,"",0.68,0.66,0.65,0.65,0.52,0.00,0.00,0.79,"",-10,-0.4,1216,1.1,311,0.3,-136,-0.1,220030950,11.0,0,0.0,0,0.0,141,10.6
"36000","1","1021","53","0","2017","2","",1712,46421,46418,46286,757991471,0,0,1257,"",0.88,1.06,1.05,1.04,0.91,0.00,0.00,0.87,"",-4,-0.2,853,1.9,290,0.6,-22,0.0,100565412,15.3,0,0.0,0,0.0,158,14.4
"36000","1","1022","53","0","2017","2","",3,43,42,43,742807,0,0,1339,"",0.37,0.10,0.10,0.10,0.08,0.00,0.00,0.80,"",-1,-25.0,0,0.0,-1,-2.3,-1,-2.3,1774,0.2,0,0.0,0,0.0,24,1.8
"36000","1","1023","53","0","2017","2","",30,454,451,453,14395519,0,0,2446,"",0.59,0.54,0.54,0.54,0.53,0.00,0.00,0.99,"",1,3.4,3,0.7,2,0.4,-4,-0.9,392223,2.8,0,0.0,0,0.0,65,2.7
"36000","1","1024","53","0","2017","2","",40,958,962,989,21616802,0,0,1715,"",0.42,0.23,0.23,0.23,0.20,0.00,0.00,0.87,"",0,0.0,-7,-0.7,-1,-0.1,24,2.5,469019,2.2,0,0.0,0,0.0,28,1.7
"36000","1","1025","53","0","2017","2","",46,20027,20040,19932,422149180,0,0,1624,"",0.52,0.76,0.76,0.75,0.64,0.00,0.00,0.84,"",0,0.0,-49,-0.2,-14,-0.1,13,0.1,66043163,18.5,0,0.0,0,0.0,255,18.6
"36000","1","1026","53","0","2017","2","",38,1497,1541,1740,20844992,0,0,1007,"",0.38,0.50,0.49,0.51,0.48,0.00,0.00,0.97,"",0,0.0,-53,-3.4,-101,-6.2,-125,-6.7,399427,2.0,0,0.0,0,0.0,74,7.9
"36000","1","1027","53","0","2017","2","",5,158,163,164,2474485,0,0,1177,"",0.45,0.54,0.55,0.55,0.50,0.00,0.00,0.91,"",-1,-16.7,3,1.9,3,1.9,13,8.6,450544,22.3,0,0.0,0,0.0,175,17.5
"36000","1","1028","53","0","2017","2","",764,47030,46721,46811,976775282,0,0,1604,"",0.49,0.48,0.48,0.47,0.37,0.00,0.00,0.78,"",-6,-0.8,463,1.0,130,0.3,-37,-0.1,51622321,5.6,0,0.0,0,0.0,79,5.2
"36000","1","1029","53","0","2017","2","",1,3,3,3,87067,0,0,2232,"",1.29,4.24,4.23,4.63,4.38,0.00,0.00,1.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36000","1","31-33","54","0","2017","2","",2,4,5,5,97634,0,0,1609,"",0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.79,"",0,0.0,0,0.0,2,66.7,2,66.7,39896,69.1,0,0.0,0,0.0,277,20.8
