New York Energy Consumption Estimates 2016
https://www.eia.gov/state/?sid=NY
22:33:53 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,New York Energy Consumption Estimates Trillion Btu
Coal,29.7
Natural Gas,1335.1
Motor Gasoline excl. Ethanol,635.3
Distillate Fuel Oil,330.1
Jet Fuel,201.2
HGL,32.7
Residual Fuel,40
Other Petroleum,66
Nuclear Electric Power,434.8
Hydroelectric Power,248.2
Biomass,132
Other Renewables,48.2
Net Electricity Imports,61.2
Net Interstate Flow of Electricity,67
