Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,8995             ,PAS,BUFFALO        ,NY,14207,ERIE        ,1913,DE/EL,2DSD,ELECTRIC,1100,,,05/31/2018,07/01/2020,MR   ,N,N,N
VEH ,607SR2131A       ,PAS,N SYRACUSE     ,NY,13212,ONONDAGA    ,1977,CITI ,2DSD,ELECTRIC,2590,,,11/21/2017,11/20/2019,RD   ,N,N,N
VEH ,537LS7D46CT083476,PAS,NEWFANE        ,NY,14108,NIAGARA     ,2012,AZURE,SUBN,ELECTRIC,4005,,,05/16/2017,05/17/2019,WH   ,N,N,N
VEH ,53TBH2MC1BE900166,PAS,ROCKVILLE CTR  ,NY,11570,NASSAU      ,2011,THINK,2DSD,ELECTRIC,2348,,,04/18/2018,05/06/2020,RD   ,N,N,N
VEH ,53G1B4A47DB000347,PAS,BROOKLYN       ,NY,11223,KINGS       ,2013,CODA ,4DSD,ELECTRIC,3682,,,08/08/2018,08/07/2020,BK   ,N,N,N
VEH ,52CG6AGA9F0012958,PAS,BABYLON        ,NY,11702,SUFFOLK     ,2015,GEM  ,SUBN,ELECTRIC,1790,,,07/28/2017,08/31/2019,BL   ,N,N,N
VEH ,52CG2DGA4F0012198,PAS,ALBANY         ,NY,12222,ALBANY      ,2015,GEM  ,2DSD,ELECTRIC,1550,,,10/02/2017,09/30/2019,PR   ,N,N,N
VEH ,52CG2DGA0F0012196,PAS,ALBANY         ,NY,12222,ALBANY      ,2015,GEM  ,2DSD,ELECTRIC,1550,,,09/19/2017,10/31/2019,YW   ,N,N,N
VEH ,5YJ3E1EB9JF075183,PAS,BROOKLYN       ,NY,11223,KINGS       ,2018,TESLA,4DSD,ELECTRIC,3865,,,09/08/2018,09/07/2020,BL   ,N,N,N
VEH ,5YJ3E1EB9JF074146,PAS,LLOYD HARBOR   ,NY,11743,SUFFOLK     ,2018,TESLA,4DSD,ELECTRIC,3865,,,09/19/2018,09/18/2020,BL   ,N,N,N
VEH ,5YJ3E1EB9JF074082,PAS,OAKDALE        ,NY,11769,SUFFOLK     ,2018,TESLA,4DSD,ELECTRIC,3865,,,09/11/2018,08/15/2020,BL   ,N,N,N
