Region_Code,Region,County
4,Capital Region,Albany
9,Western New York,Allegany
2,New York City,Bronx
7,Central New York,Broome
,Western New York,Cattaraugus
7,Central New York,Cayuga
,Western New York,Chautauqua
8,Western Finger Lakes,Chemung
7,Central New York,Chenango
5,Eastern Adirondacks,Clinton
4,Capital Region,Columbia
7,Central New York,Cortland
4,Capital Region,Delaware
3,Lower Hudson Valley,Dutchess
,Western New York,Erie
5,Eastern Adirondacks,Essex
5,Eastern Adirondacks,Franklin
5,Eastern Adirondacks,Fulton
8,Western Finger Lakes,Genesee
4,Capital Region,Greene
5,Eastern Adirondacks,Hamilton
6,Western Adirondacks,Herkimer
6,Western Adirondacks,Jefferson
2,New York City,Kings
6,Western Adirondacks,Lewis
8,Western Finger Lakes,Livingston
7,Central New York,Madison
8,Western Finger Lakes,Monroe
4,Capital Region,Montgomery
1,Long Island,Nassau
2,New York City,New York
,Western New York,Niagara
6,Western Adirondacks,Oneida
7,Central New York,Onondaga
8,Western Finger Lakes,Ontario
3,Lower Hudson Valley,Orange
8,Western Finger Lakes,Orleans
7,Central New York,Oswego
4,Capital Region,Otsego
3,Lower Hudson Valley,Putnam
2,New York City,Queens
4,Capital Region,Rensselaer
2,New York City,Richmond
3,Lower Hudson Valley,Rockland
5,Eastern Adirondacks,Saratoga
4,Capital Region,Schenectady
4,Capital Region,Schoharie
8,Western Finger Lakes,Schuyler
8,Western Finger Lakes,Seneca
6,Western Adirondacks,St. Lawrence
8,Western Finger Lakes,Steuben
1,Long Island,Suffolk
3,Lower Hudson Valley,Sullivan
7,Central New York,Tioga
7,Central New York,Tompkins
3,Lower Hudson Valley,Ulster
5,Eastern Adirondacks,Warren
5,Eastern Adirondacks,Washington
8,Western Finger Lakes,Wayne
3,Lower Hudson Valley,Westchester
,Western New York,Wyoming
8,Western Finger Lakes,Yates
