Zip Code,Population
10162,1726
10028,44987
10128,59856
10031,60221
10009,58595
10032,63842
11372,71308
10016,51217
10003,53673
10002,84870
10026,30377
10023,62206
10025,97086
10453,76775
10030,25847
10021,102078
11226,106154
10029,75390
10012,26000
10033,58259
10040,46599
11104,29506
10452,72138
10011,46669
10039,21737
10456,76656
10010,26408
10468,78309
10022,30642
10037,16984
10458,77840
11103,44321
11213,65440
11373,105723
10457,69048
10024,61414
10014,32667
11216,55775
11219,85987
10472,64867
11212,85161
11221,76363
10038,15574
10027,56168
11220,92718
11218,74611
10455,37465
11106,43130
10017,16201
10462,72077
11206,69032
11237,48910
11374,44189
10019,36012
11230,88933
10034,41756
11204,74880
10459,39080
11217,35353
11233,61955
10013,25042
11211,85089
11225,63774
11102,36291
10280,6614
11419,48867
11238,48965
11355,83281
10044,9520
10451,40961
11368,98841
11210,62308
11203,84498
10463,65576
11214,83546
11223,77691
11229,80554
10036,18751
11415,20956
11435,53877
11224,51205
11416,23668
11377,88339
10454,34976
10466,68787
10467,94342
11201,47746
10460,53707
11369,36110
11207,86551
11209,69840
11421,37664
11235,77451
11370,43142
11215,63001
11236,96301
11228,41172
10475,38086
11205,35622
11375,70204
11385,97524
10473,56166
10001,17310
11432,57045
11417,28607
11105,42117
11428,21023
11208,87165
11354,54329
10469,63345
10035,32702
11231,32974
11418,36571
10282,1574
10461,49808
11222,39360
11436,18148
11420,45498
10006,1447
11232,27723
11429,27647
11367,38216
10069,1403
11239,14620
11434,59142
11412,37452
11358,38647
11423,31240
10007,3522
10550,38284
10470,15780
11366,13366
11433,28435
11411,21282
11365,41566
10705,38115
11427,23014
11379,28984
11361,29206
11692,15893
10701,63715
10553,10102
11004,14682
10018,4255
10308,26451
11357,39491
11550,59022
10703,20410
10302,16406
11378,34053
11356,20444
11691,56184
11413,39827
10310,22852
11694,19278
14201,13609
11364,34539
11414,28121
11360,19350
11005,2195
11003,40507
10005,884
14222,14365
11426,18727
10552,19948
14213,26080
12210,9492
14208,13207
10465,42500
10805,17957
11561,39582
10304,38972
10704,29158
10801,36322
14619,14754
10301,38805
10606,15733
14621,35977
11563,23231
11010,24778
14215,44484
11501,19111
11580,37759
14607,16297
12307,6843
11001,25511
11101,25595
14613,15078
10305,38450
